"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"WAFC Lightning G04",1302,6.81,4.75,25,"OR","Woodburn","PTT G04 Div 1 Red","Spr OYS G04 Premier White","OYS Presidents Cup G04"
"Highline Premier Blue G04",1298,5.96,5.28,25,"WA","Burien","PSPL WSPL U14","Spr PSPL - '04 Super 2 U14",""
"Cascade FC Green G04",1293,5.59,5.44,19,"WA","Snoqualmie","PSPL Classic 1 - West U14","Spr PSPL - '04 Super 2 U14",""
"UPSC Jays G04",1282,5.5,5.13,20,"WA","University Place","NPSL Div 2 (04) U14","","Founders Cup G04 Div A"
"Crossfire Select Lower G04",1276,6.04,4.49,24,"WA","Redmond","NPSL Div 1 (04) U14","Spr NPSL (04) Div 1 U14","Founders Cup G04 Div A"
"Snohomish United Black G04",1274,5,5.35,40,"WA","Snohomish","RCL G04 Div 3","",""
"ISC Gunners B G04",1266,4.25,5.96,29,"WA","Issaquah","PSPL Classic 1 - West U14","Spr PSPL - '04 Super 2 U14",""
"Hells Canyon FC G04",1259,6.11,3.95,16,"ID","","PSPL Classic 1 - East U14","Spr PSPL - '04 Super 2 U14",""
"BSC Portland Gold G04",1256,3.48,6.79,13,"OR","Portland","PTT G04 Div 2 Red North","Spr OYS G04 Div 2 Red",""
"Canyon Optimist Inferno G04",1252,8,2.86,14,"ID","","Idaho D3 Div 2 U14","",""
"Washington Timbers White 1 G04",1245,4.85,4.49,28,"WA","Vancouver","PTT G04 Div 1 Red","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"Eastside FC Blue G04",1239,5.97,3.52,25,"WA","Preston","RCL G04 Div 4","",""
"Spokane Sounders B G04",1239,7.38,2.84,26,"WA","Spokane","RCL G04 Div 3","",""
"Sting SC Timbers Red G04",1238,4.27,4.87,17,"ID","","PSPL Classic 1 - East U14","",""
"Breakers Black Lewis G04",1235,5.11,4,12,"WA","Spokane","PSPL Classic 1 - East U14","Spr PSPL - '04 Super 2 U14",""
"PCU Red 2 G04",1234,3.7,5.47,20,"OR","Portland","PTT G04 Div 1 White","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"RV Slammers Orange G04",1232,4.77,4.18,29,"WA","Auburn","RCL G04 Div 4","",""
"PacNW White G04",1224,4.36,4.33,32,"WA","Tukwila","RCL G04 Div 4","",""
"Spokane Scotties Snell G04",1205,5.89,2.82,17,"WA","Spokane","PSPL Copa 1 - East U14","",""
"South Whidbey Reign G04",1199,5.45,2.92,23,"WA","","NPSL Div 1 (04) U14","","Founders Cup G04 Div A"
"OFA Azul G04",1193,3.96,3.84,12,"OR","","PTT G04 Div 1 Red","Spr OYS G04 Div 1 Red",""
"Breakers Red Griffiths G04",1191,6.69,2.24,14,"WA","Spokane","PSPL Copa 1 - East U14","",""
"Whatcom FC Rangers Blue G04",1185,4.03,3.58,31,"WA","Bellingham","RCL G04 Div 4","",""
"Harbor Riptide G04",1183,5.07,2.81,16,"WA","Gig Harbor","NPSL Div 2 (04) U14","",""
"Seattle United Shoreline Blue G04",1183,5.31,2.68,21,"WA","Seattle","NPSL Div 1 (04) U14","Spr NPSL (04) Div 1 U14","Founders Cup G04 Div A"
"FC Alianza Pegasus G04",1182,6.17,2.29,15,"ID","","Idaho D3 Div 2 U14","",""
"Emerald City FC Green G04",1179,4.09,3.37,18,"WA","Seattle","PSPL Classic 1 - West U14","Spr PSPL - '04 Classic 1 - West U14",""
"Oregon Trail SC Fury G04",1173,6.12,2.17,26,"OR","","PTT G04 Div 1 Red","","OYS Presidents Cup G04"
"North Central FC G04",1169,4.36,2.96,8,"WA","","PSPL Copa 1 - East U14","",""
"WUFC Gold G04",1160,2.9,4.19,23,"OR","West Linn","PTT G04 Div 1 White","Spr OYS G04 Div 1 White","OYS Presidents Cup G04"
"FC Salmon Creek Nemesis Blue G04",1151,5.77,1.98,27,"WA","Salmon Creek","PTT G04 Div 2 Red North","Spr OYS G04 Div 2 White","OYS Founders Cup G04"
